frame,nose_x,nose_y,left-eye_x,left-eye_y,right-eye_x,right-eye_y,left-ear_x,left-ear_y,right-ear_x,right-ear_y,left-shoulder_x,left-shoulder_y,right-shoulder_x,right-shoulder_y,left-elbow_x,left-elbow_y,right-elbow_x,right-elbow_y,left-wrist_x,left-wrist_y,right-wrist_x,right-wrist_y,left-hip_x,left-hip_y,right-hip_x,right-hip_y,left-knee_x,left-knee_y,right-knee_x,right-knee_y,left-ankle_x,left-ankle_y,right-ankle_x,right-ankle_y,frame_height,frame_width,tracking_id,dist_ear_nose,look_down
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,1920.0,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,1920.0,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,1920.0,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,1920.0,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,1640.027997016716,0.0,0.0,0.0,1586.4306141818142,289.4814702089515,0.0,0.0,1399.0192937039403,976.3160664679583,0.0,0.0,1310.9628879662698,781.3201204036536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,1920.0,7,0.0,True
4,451.27310205674024,505.32358980857265,471.051311672263,477.63929200488514,413.95726896387964,484.7648993993956,506.1816238064451,488.5679275370196,363.15845096471116,507.9315742052526,567.3964043561665,612.2776235967638,308.3296902366365,625.5719306493249,639.9840622746821,736.5274680488308,164.52092865203193,733.3000278811207,476.81360755044,763.9998659541722,316.2376470216573,746.3390079606955,536.6281477109836,923.1052522995016,369.0046924935388,930.412179219492,250.78024894589907,478.636962493528,362.91735536061736,1013.0061081437663,0.0,0.0,0.0,0.0,1080.0,1920.0,2,-2.607984396679967,False
4,1326.152898893117,320.84937091058794,1341.5319975706525,302.7098939980338,1310.1153572533963,306.48616645506144,1373.2490263866669,298.8690492725713,1293.9762669398453,308.71628229277235,1408.2238810466306,361.17255717863054,1284.177351775975,360.2257359516518,0.0,0.0,1236.8730647273076,412.88528853418853,0.0,0.0,1220.8338860646218,445.13415889298864,0.0,0.0,1304.9858596571341,514.0900153176411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,1920.0,3,12.133088617815588,True
4,592.692251907832,368.88461984122955,607.5725483520993,350.6688028830354,569.8106781838417,353.3841442114692,627.8869232277847,360.59231066064433,534.9575866451795,367.83605086577313,671.8886285660842,460.6658288761165,500.09546077802503,467.0993409239236,694.6071296930936,580.4839986757669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,1920.0,4,1.0485689754564191,True
4,757.8568426420954,317.2103656530774,771.3644308367076,304.62288945651477,743.3644807487889,306.17864854175497,794.9261071664714,307.8146652640806,721.8051602959259,311.8554501414282,831.8609245407822,364.42114169947877,692.4345181307167,364.7209956896057,855.2003940460451,426.5682135240626,648.4796486693423,418.93578615446665,768.6329367983476,422.03390427790686,670.8027957567706,417.99566859831833,808.2671790738825,512.3370930382395,718.357109085631,509.9682189035747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,1920.0,5,5.35491551164921,True
4,759.7949834747798,318.12022405556695,771.8710658255944,304.7352160441574,743.7021968528915,307.2548460227308,793.1442275650979,307.40953047927496,720.9900555154117,313.46670355034564,825.7950155399009,366.2764437556626,699.4009780003673,363.2030415830122,855.0911968989373,425.1719693647918,638.9381853385163,402.37788217363396,755.2897670003368,430.70254960389406,677.2189646915386,412.7575120923628,804.6131088054159,524.9621696121778,726.1663102443965,522.9883665196849,774.4133485980344,563.8139598082003,716.7513815165837,563.9270575671638,785.8987626761785,696.1509298200416,743.2812537207832,697.3110327063918,1080.0,1920.0,1,4.653520505221309,True
